DevType,Country,OrgSize,YearsCodePro,CompTotal,LanguageHaveWorkedWith,ToolsTechHaveWorkedWith,PlatformHaveWorkedWith,MiscTechHaveWorkedWith
Other (please specify):,Canada,,,,Bash/Shell (all shells);Go;Haskell;HTML/CSS;JavaScript;Lua;MATLAB;Prolog;Python;Rust;SQL;TypeScript,,Google Cloud,
Cloud infrastructure engineer,Ukraine,"1,000 to 4,999 employees",7,63000.0,,Docker,Microsoft Azure,Flutter
"Developer, front-end",Belarus,500 to 999 employees,6,72000.0,HTML/CSS;Java;TypeScript,Gradle;Kubernetes;npm;Webpack,Amazon Web Services (AWS),
"Developer, full-stack",India,20 to 99 employees,10,2500000.0,C#;HTML/CSS;JavaScript;SQL,,Microsoft Azure,.NET (5+) 
"Developer, full-stack",South Africa,100 to 499 employees,7,1000000.0,C#;JavaScript;SQL,Ant;Docker;Kubernetes;Maven (build tool);MSBuild;npm;NuGet;Pip;Visual Studio Solution,Amazon Web Services (AWS);Microsoft Azure;Vercel,.NET (5+) ;.NET Framework (1.0 - 4.8);Flutter
"Developer, full-stack",Norway,"10,000 or more employees",8,900000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Chocolatey;Docker;Homebrew;npm;NuGet;Terraform;Visual Studio Solution;Webpack,Amazon Web Services (AWS);Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, full-stack",Belgium,2 to 9 employees,16,125000.0,Bash/Shell (all shells);C;Elixir;HTML/CSS;JavaScript;Julia;Python;SQL,Bun;Docker;Kubernetes;npm;Pip;Webpack,Hetzner,Apache Kafka;Capacitor;CUDA;Hugging Face Transformers;NumPy;Opencv;Pandas;RabbitMQ;Scikit-Learn;Torch/PyTorch
"Developer, back-end",Israel,"1,000 to 4,999 employees",3,364000.0,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;PowerShell;Rust,Bun;Docker;Kubernetes;Make;Maven (build tool);npm;Yarn,,RabbitMQ
"Developer, back-end",Germany,100 to 499 employees,6,80000.0,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Lua;Python;Rust;TypeScript,APT;Docker;Make;Ninja;npm;Pacman;Pip;Webpack,Amazon Web Services (AWS),Ruff
"Developer, full-stack",Netherlands,20 to 99 employees,2,41366.0,Assembly;C;C#;C++;Elixir;Erlang;Go;HTML/CSS;Java;JavaScript;MicroPython;PowerShell;Python;SQL;TypeScript,Chocolatey;Docker;Maven (build tool);npm;NuGet;Pip,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Fly.io;Hetzner;Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);NumPy;Pandas;RabbitMQ
"Developer, back-end",France,"1,000 to 4,999 employees",2,15000.0,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;MATLAB;PHP;Python;R;SQL;TypeScript,Chocolatey;Docker;Homebrew;npm;NuGet;Pip;Unity 3D;Visual Studio Solution;Yarn,Cloudflare;Firebase;OVH;Vercel,Cordova;NumPy;OpenGL;Pandas;Qt;React Native;Scikit-Learn
"Developer, full-stack",Brazil,100 to 499 employees,21,1100000.0,C++;HTML/CSS;Java;JavaScript;PHP;Rust;TypeScript,npm;Vite;Webpack;Yarn,Amazon Web Services (AWS);Microsoft Azure,Apache Kafka;React Native
"Developer, embedded applications or devices",Germany,20 to 99 employees,19,72000.0,Bash/Shell (all shells);C;C#;C++;JavaScript;Python;Rust,Docker;Pip,,
"Developer, back-end",Czech Republic,"10,000 or more employees",10,,JavaScript;PHP;Python,Docker;Make;Podman,Amazon Web Services (AWS);Digital Ocean;OpenShift;OpenStack,GTK;Opencv;RabbitMQ
"Developer, mobile",India,100 to 499 employees,7,3500000.0,Dart;Groovy;HTML/CSS;JavaScript;Kotlin;TypeScript,Gradle;pnpm,Firebase;Vercel,Flutter;Ktor
Other (please specify):,United States of America,10 to 19 employees,28,175000.0,Bash/Shell (all shells);Haskell;HTML/CSS;JavaScript;TypeScript,,,
Product manager,United Kingdom of Great Britain and Northern Ireland,100 to 499 employees,6,140000.0,Python;SQL,,PythonAnywhere,Hugging Face Transformers;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch
"Developer, full-stack",Switzerland,500 to 999 employees,5,4000.0,Assembly;Bash/Shell (all shells);C++;Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;Rust;SQL;TypeScript,Docker;npm;Pacman;Webpack,"Linode, now Akamai;Microsoft Azure",
Student,Greece,,,,C;C++;HTML/CSS;JavaScript;Lua;Python,APT;Godot;Make;Pacman,,OpenGL
"Developer, back-end",Czech Republic,20 to 99 employees,8,800000.0,Bash/Shell (all shells);Java;JavaScript;Kotlin;Python;SQL;TypeScript,Ansible;Docker;Gradle;Maven (build tool);npm;Podman,Amazon Web Services (AWS);Heroku;Microsoft Azure,
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,2 to 9 employees,10,42000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;R;Ruby;SQL;TypeScript,APT;Docker;Kubernetes;npm;Pip;Webpack;Yarn,Amazon Web Services (AWS),Apache Spark;Keras;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch
"Developer, full-stack",Romania,100 to 499 employees,11,,Java;JavaScript,,,
"Developer, full-stack",United States of America,"10,000 or more employees",1,85000.0,F#;JavaScript;R;Rust,Docker;Kubernetes;Ninja;npm;NuGet,OpenShift,.NET (5+) ;Tidyverse
Data scientist or machine learning specialist,Ukraine,"10,000 or more employees",1,,Assembly;C;C++;HTML/CSS;Java;JavaScript;Python;R;SQL,Docker;Make;Maven (build tool);npm;Pip,Firebase;Google Cloud;Heroku;PythonAnywhere;Render,Hugging Face Transformers;Keras;NumPy;Opencv;Pandas;Spring Framework;TensorFlow;Torch/PyTorch
"Developer, desktop or enterprise applications",Malaysia,2 to 9 employees,17,132000.0,C;C#;C++;Python,Pip;Puppet;Visual Studio Solution,,MFC;Opencv;Pandas;TensorFlow
"Developer, front-end",Cuba,2 to 9 employees,4,,JavaScript;Lua;PHP,Composer;Docker;Nix;npm;pnpm;Vite;Yarn,Amazon Web Services (AWS);Firebase,
"Developer, back-end",Serbia,20 to 99 employees,5,2400000.0,Java;SQL,Maven (build tool),Amazon Web Services (AWS);Hetzner,Spring Framework
Data scientist or machine learning specialist,Poland,"10,000 or more employees",17,413400.0,C;HTML/CSS;JavaScript;Python;SQL,,Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Microsoft Azure;Supabase,Apache Kafka;Apache Spark;CUDA;DirectX;Hadoop;Hugging Face Transformers;JAX;Keras;mlflow;NumPy;Opencv;OpenGL;Pandas;RabbitMQ;Scikit-Learn;TensorFlow;Torch/PyTorch
"Developer, back-end",United Kingdom of Great Britain and Northern Ireland,20 to 99 employees,1,,C;Haskell;JavaScript;Python;Rust,,,Torch/PyTorch
"Developer, front-end",Australia,"10,000 or more employees",16,190000.0,HTML/CSS;JavaScript;TypeScript,Docker;Homebrew;npm;pnpm,Google Cloud,
"Developer, back-end",Russian Federation,"5,000 to 9,999 employees",1,3036000.0,Go;Java,Docker;Gradle;Homebrew;Kubernetes;Make;Pacman,,Spring Framework
"Developer, front-end",Iceland,10 to 19 employees,25,,C++;Go;HTML/CSS;JavaScript;Lua;PHP;Python;TypeScript,Docker;Homebrew;Kubernetes;Make;npm;Webpack,Vercel,
DevOps specialist,Sweden,"5,000 to 9,999 employees",8,650000.0,Ada;Assembly;Bash/Shell (all shells);Go;Groovy;PowerShell;Python;Rust;Swift,Ansible;APT;Docker;Homebrew;Kubernetes;Make;Podman,Colocation;VMware,SwiftUI
Student,France,,,,C;C++;Java;Python;Ruby;SQL,Make;Pip;Unreal Engine;Visual Studio Solution,,DirectX;OpenGL;Pandas;Scikit-Learn
Research & Development role,United States of America,100 to 499 employees,3,184000.0,Python;Rust,,,Ruff
"Developer, desktop or enterprise applications",Turkey,"Just me - I am a freelancer, sole proprietor, etc.",11,60000.0,Bash/Shell (all shells);C++;F#;Python,,,.NET (5+) ;Qt
Educator,Netherlands,,,,C#;C++,Godot,Microsoft Azure,
"Developer, full-stack",India,,1,,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;PowerShell;Visual Basic (.Net),npm,,.NET (5+) 
Engineering manager,Germany,500 to 999 employees,8,92000.0,Bash/Shell (all shells);C;C++;Go;Haskell;Prolog;Python;R;Rust,Docker;Make;Nix;Pip,,
"Developer, full-stack",United States of America,"10,000 or more employees",Less than 1 year,54000.0,Ada;Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL,npm;NuGet;Webpack,,.NET Framework (1.0 - 4.8)
"Developer, mobile",Brazil,"1,000 to 4,999 employees",15,230000.0,Bash/Shell (all shells);Groovy;Java;Kotlin,Docker;Gradle;Homebrew,Microsoft Azure,
"Developer, full-stack",Ireland,"5,000 to 9,999 employees",25,95000.0,C#;HTML/CSS;JavaScript;SQL,Chocolatey;NuGet;Visual Studio Solution,,.NET Framework (1.0 - 4.8)
"Developer, embedded applications or devices",Czech Republic,100 to 499 employees,9,948000.0,C;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Composer;Docker;Make;Maven (build tool);npm;Pip,Amazon Web Services (AWS);Google Cloud,Spring Framework
"Developer, full-stack",India,100 to 499 employees,7,1200000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP,APT;Composer;Docker;npm,Amazon Web Services (AWS);Cloudflare;Google Cloud;Heroku;Managed Hosting,NumPy;Pandas
"Developer, desktop or enterprise applications",Germany,,,,C;C++;HTML/CSS;JavaScript;Python,,VMware,
"Developer, mobile",United Kingdom of Great Britain and Northern Ireland,"Just me - I am a freelancer, sole proprietor, etc.",41,,C;HTML/CSS;JavaScript;Objective-C;SQL;Swift,,,
Research & Development role,Russian Federation,20 to 99 employees,8,6000000.0,Assembly;Rust,,,
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,"1,000 to 4,999 employees",15,78000.0,C#;Clojure;Go;JavaScript,MSBuild,Microsoft Azure,.NET (5+) 
Student,United States of America,,,,Assembly;C;C++;Java;Python;Rust;SQL,Gradle;Kubernetes;Make,,TensorFlow
"Developer, back-end",United Kingdom of Great Britain and Northern Ireland,20 to 99 employees,21,55299.0,Java;SQL;TypeScript,Docker;Gradle;Kubernetes;Yarn,,RabbitMQ
"Developer, back-end",France,2 to 9 employees,4,24000.0,Go;HTML/CSS;JavaScript;PHP;SQL,Composer;Docker;npm;pnpm;Webpack;Yarn,Firebase;OVH,OpenGL
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,500 to 999 employees,5,110000.0,HTML/CSS;Java;JavaScript;SQL;TypeScript,Docker;Gradle;Webpack;Yarn,Amazon Web Services (AWS);Digital Ocean,
"Developer, full-stack",Netherlands,,2,,C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Python;SQL,Docker;NuGet,,.NET (5+) ;React Native;Spring Framework
"Developer, full-stack",Netherlands,"1,000 to 4,999 employees",28,85000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net),NuGet;Visual Studio Solution,Cloudflare;Microsoft Azure,.NET (5+) 
"Developer, full-stack",Serbia,10 to 19 employees,26,,Bash/Shell (all shells);C;Clojure;Go;Haskell;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript,Docker;Make;npm;Pip,"Amazon Web Services (AWS);Linode, now Akamai",Apache Kafka;Apache Spark;NumPy;Pandas;Scikit-Learn;Torch/PyTorch
Student,Netherlands,,,,Bash/Shell (all shells);C;C++;Java;JavaScript;PHP;PowerShell,Make;npm;Pip,,NumPy
"Developer, desktop or enterprise applications",Canada,20 to 99 employees,34,150000.0,C;C#;C++,MSBuild;NuGet;Visual Studio Solution,,.NET (5+) 
"Developer, full-stack",France,20 to 99 employees,13,,C++;Python,Google Test;MSBuild;Visual Studio Solution,,OpenGL;Qt
"Developer, full-stack",Sweden,20 to 99 employees,1,450000.0,Bash/Shell (all shells);Java;JavaScript;TypeScript,Docker;Gradle;Maven (build tool);npm;Pip;Vite,Amazon Web Services (AWS),Spring Framework
"Developer, full-stack",Spain,500 to 999 employees,8,120000.0,JavaScript;Python;SQL;TypeScript,Docker;Homebrew;Kubernetes;Terraform,Amazon Web Services (AWS);Databricks;Digital Ocean,Apache Kafka;Apache Spark;mlflow;Pandas;Scikit-Learn
"Developer, full-stack",Germany,20 to 99 employees,2,64300.0,C#;GDScript;HTML/CSS;JavaScript;MicroPython;Python,npm,Google Cloud,Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch
"Developer, full-stack",Cyprus,2 to 9 employees,5,,Bash/Shell (all shells);C#;Dart;HTML/CSS;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;Swift;TypeScript,Composer;Gradle;Homebrew;npm;Pip;pnpm;Yarn,Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Heroku;Vercel,Flutter;Pandas;Scikit-Learn;SwiftUI;TensorFlow
"Developer, back-end",Canada,"10,000 or more employees",3,66000.0,C#;HTML/CSS;Java;SQL;TypeScript,Gradle;Maven (build tool);NuGet;Visual Studio Solution,Firebase,.NET (5+) ;Spring Framework
"Developer, full-stack",Russian Federation,"1,000 to 4,999 employees",3,16500.0,HTML/CSS;JavaScript;TypeScript,Bun;npm;Pacman;Pip;pnpm;Podman;Vite,,
"Developer, full-stack",Slovakia,100 to 499 employees,5,,C;C#;HTML/CSS;JavaScript;Kotlin;PowerShell;Rust;SQL;TypeScript,Docker;Homebrew;NuGet;Pacman;Visual Studio Solution,Hetzner,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ
Blockchain,Denmark,10 to 19 employees,14,249600.0,JavaScript;Rust;Solidity,Docker;Homebrew;Make,,
Data engineer,Italy,2 to 9 employees,8,36000.0,SQL,,,
"Developer, back-end",United Kingdom of Great Britain and Northern Ireland,"1,000 to 4,999 employees",11,134000.0,Go;Rust;SQL,npm,Amazon Web Services (AWS);Cloudflare,
System administrator,Bangladesh,100 to 499 employees,6,9600000.0,Bash/Shell (all shells);Go;JavaScript;Python;Ruby,Ansible;Docker;Kubernetes;Terraform,Google Cloud,Apache Kafka
"Developer, full-stack",Turkey,"Just me - I am a freelancer, sole proprietor, etc.",Less than 1 year,12000.0,C#;JavaScript;SQL,,,
Student,United Kingdom of Great Britain and Northern Ireland,,,,Bash/Shell (all shells);C;Go;Haskell;HTML/CSS;JavaScript;Python;SQL,Bun;Dagger;Make;Nix;Pacman;Pip;pnpm;Podman;Vite,"Digital Ocean;Linode, now Akamai;Vultr",.NET (5+) 
"Developer, full-stack",Italy,20 to 99 employees,12,50000.0,C;C++;Go;HTML/CSS;Java;JavaScript;Perl;PHP;Python;Ruby;Rust;Scala;SQL;TypeScript,Ansible;Chocolatey;Composer;Docker;Maven (build tool);npm;NuGet;Pip;pnpm;Vite;Webpack;Yarn,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;OpenShift,Apache Kafka;Electron;Keras;Pandas;Quarkus
"Developer, full-stack",Ukraine,2 to 9 employees,17,2160000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,Composer;Docker;npm;Podman;Vite;Webpack,Cloudflare;Digital Ocean;Google Cloud;Hetzner,
Cloud infrastructure engineer,Jordan,"10,000 or more employees",7,105000.0,C#,Gradle;NuGet;Terraform;Unreal Engine;Visual Studio Solution,Microsoft Azure,.NET (5+) ;DirectX;OpenGL
"Developer, full-stack",Italy,,Less than 1 year,,HTML/CSS;JavaScript;Python,Docker;Gradle;Maven (build tool);npm;Vite,Amazon Web Services (AWS);Firebase;Heroku;Netlify;Render;Vercel,Flutter
"Developer, back-end",Sweden,500 to 999 employees,5,1140000.0,Bash/Shell (all shells);JavaScript;Python;Rust;TypeScript,npm;Terraform;Yarn,Google Cloud,Ruff
"Developer, back-end",India,10 to 19 employees,1,120000.0,Java;Python,Maven (build tool),IBM Cloud Or Watson,NumPy;Spring Framework
"Developer, back-end",India,500 to 999 employees,22,5400000.0,C++,Docker;Kubernetes;Make,Microsoft Azure,Apache Kafka
"Developer, back-end",Ukraine,2 to 9 employees,Less than 1 year,,Bash/Shell (all shells);Python;SQL,Pip,,RabbitMQ
Project manager,Germany,,,,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;PHP;SQL;TypeScript;Visual Basic (.Net),Chocolatey;npm;Yarn,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, back-end",Brazil,2 to 9 employees,4,72000.0,C#;JavaScript;Python;Rust;SQL;TypeScript,Bun;Docker;npm,Microsoft Azure,Tauri
"Developer, full-stack",India,"10,000 or more employees",1,,Bash/Shell (all shells);C;Java;JavaScript;TypeScript,Ant;Bun;Docker;Homebrew;Maven (build tool);npm;pnpm;Vite;Webpack,Amazon Web Services (AWS);Supabase,RabbitMQ;Spring Framework
Student,United States of America,100 to 499 employees,Less than 1 year,,C;C++;Go;HTML/CSS;JavaScript;Lua;Python;Rust;SQL,Homebrew;Make;npm;Pip,,CUDA;OpenCL
Developer Experience,United States of America,10 to 19 employees,18,175000.0,Haskell;JavaScript;TypeScript,npm;Webpack,Netlify,
"Developer, front-end",Singapore,10 to 19 employees,1,,Bash/Shell (all shells);JavaScript;Rust;TypeScript,Docker;Homebrew;pnpm;Vite,Amazon Web Services (AWS),Tauri
"Developer, full-stack",United States of America,"10,000 or more employees",5,100000.0,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;Ruby;SQL,APT;Docker;Homebrew;Kubernetes;Make;Maven (build tool);npm;Pip;Webpack;Yarn,VMware,Apache Spark;Keras;Pandas;Quarkus;Scikit-Learn;Spring Framework
"Developer, full-stack",United States of America,"10,000 or more employees",7,150000.0,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;Rust;SQL;TypeScript,Docker;MSBuild;npm;NuGet;Pip;Podman;Visual Studio Solution;Webpack,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);Roslyn
"Developer, full-stack",Czech Republic,100 to 499 employees,8,830000.0,PowerShell;Rust;TypeScript,Chocolatey;Vite,,
"Developer, front-end",Ukraine,10 to 19 employees,1,,HTML/CSS;JavaScript;TypeScript,npm;Vite;Webpack;Yarn,Heroku;Netlify;Vercel,React Native
"Developer, full-stack",Brazil,10 to 19 employees,2,26400.0,HTML/CSS;Java;JavaScript;PHP;Rust;TypeScript,Bun;Docker;npm;pnpm;Puppet;Vite;Webpack;Yarn,Firebase;Heroku;Netlify;Oracle Cloud Infrastructure (OCI);Vercel,Opencv;Tauri
"Developer, embedded applications or devices",Germany,100 to 499 employees,5,,C;C++;Python;Rust,Ansible;APT;Docker;Make;Pip;Terraform,Amazon Web Services (AWS),NumPy;Ruff
Data scientist or machine learning specialist,Germany,500 to 999 employees,4,50000.0,Bash/Shell (all shells);Python;Scala;SQL,Homebrew;Kubernetes;Make;Pip;Terraform,Amazon Web Services (AWS),Apache Kafka;Apache Spark;Hugging Face Transformers;NumPy;Pandas;Ruff;Scikit-Learn;TensorFlow
"Developer, back-end",Germany,500 to 999 employees,23,93000.0,Bash/Shell (all shells);C#;Groovy;JavaScript;Python;Rust;SQL,Docker;Gradle;npm;Pip;Unity 3D,Amazon Web Services (AWS);Google Cloud,
Other (please specify):,United States of America,20 to 99 employees,17,200000.0,Bash/Shell (all shells);Clojure;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL;TypeScript,Docker;Homebrew;npm;Terraform;Webpack;Yarn,Amazon Web Services (AWS);Google Cloud;Heroku;Microsoft Azure;Netlify;OpenShift;Oracle Cloud Infrastructure (OCI);Vercel,
"Developer, back-end",Netherlands,20 to 99 employees,8,,JavaScript;PHP;Python;TypeScript,Composer;Docker;Kubernetes;npm;Pip;Yarn,Amazon Web Services (AWS),
Student,United States of America,,,,C;C++;Java;Python;Rust,Docker;Homebrew;Make;Ninja;Pip,,NumPy;Opencv;Pandas;Scikit-Learn;Torch/PyTorch
"Developer, desktop or enterprise applications",United States of America,"10,000 or more employees",4,120000.0,Bash/Shell (all shells);Elixir;Java;Kotlin;PowerShell;Python;Rust,Gradle,Fly.io,Hugging Face Transformers;NumPy;Spring Framework
"Developer, embedded applications or devices",Switzerland,20 to 99 employees,34,118000.0,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript,,,
System administrator,Russian Federation,100 to 499 employees,25,,Go;JavaScript;PHP;Python;SQL,Ansible;Docker;Kubernetes;Make;npm;Pip;Terraform;Yarn,Cloudflare;Firebase;OpenStack,GTK
"Developer, front-end",Ukraine,20 to 99 employees,6,,JavaScript;Ruby;TypeScript,Homebrew;npm;Webpack,Amazon Web Services (AWS),
"Developer, back-end",Poland,2 to 9 employees,12,180000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,,,
"Developer, full-stack",India,20 to 99 employees,1,,HTML/CSS;JavaScript;PHP;SQL,,Google Cloud;PythonAnywhere,
Research & Development role,Ukraine,,Less than 1 year,,Bash/Shell (all shells);C;C#;C++;Java;PowerShell;Python,Docker;Make;Maven (build tool);Ninja;npm;Pip;Unity 3D,,.NET (5+) ;NumPy
"Developer, full-stack",Czech Republic,10 to 19 employees,5,90000.0,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;Rust;SQL;TypeScript,Docker;Google Test;Gradle;Kubernetes;Make;Ninja;Nix;npm;Podman;Yarn,Cloudflare;Google Cloud;Hetzner,React Native
"Developer, back-end",Austria,10 to 19 employees,18,,Bash/Shell (all shells);C;Delphi;Groovy;HTML/CSS;JavaScript;PHP;PowerShell;Rust;SQL,Make;MSBuild,VMware,DirectX
Student,Germany,100 to 499 employees,2,,C;Clojure;HTML/CSS;JavaScript;PHP;Rust;TypeScript,Composer;Docker;Make;npm,Firebase,
"Developer, full-stack",Czech Republic,100 to 499 employees,2,461290.0,C#;HTML/CSS,Docker;NuGet,Microsoft Azure;VMware,.NET (5+) 
"Developer, full-stack",India,20 to 99 employees,4,761600.0,JavaScript;SQL,npm;Webpack;Yarn,,
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,20 to 99 employees,7,83000.0,C#;C++;HTML/CSS;JavaScript;Objective-C;SQL;TypeScript;VBA,Docker;Terraform;Visual Studio Solution,Amazon Web Services (AWS);Databricks;Microsoft Azure;VMware,.NET (5+) 
"Developer, back-end",Thailand,10 to 19 employees,4,1000.0,Go;HTML/CSS;JavaScript;PHP;SQL;VBA,Docker;npm;Vite,Amazon Web Services (AWS);Netlify;Render;Vercel,
"Developer, full-stack",United States of America,,35,,Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;Python;Ruby;SQL,Ansible;APT;Make;Pip,,CUDA;Keras;NumPy;Pandas;Qt;Scikit-Learn;TensorFlow;Torch/PyTorch
Student,Germany,100 to 499 employees,3,,Assembly;C;C++;Go;HTML/CSS;Java;JavaScript;Rust;SQL,Chocolatey;Docker;Godot;Maven (build tool);Unity 3D,Digital Ocean,Hugging Face Transformers;NumPy;OpenGL;Pandas;Scikit-Learn;Torch/PyTorch
"Developer, mobile",France,"Just me - I am a freelancer, sole proprietor, etc.",12,70000.0,Objective-C;Ruby;Swift,,Amazon Web Services (AWS),React Native
"Developer, back-end",Poland,500 to 999 employees,17,250000.0,C++;Python,Docker;Make,,Qt
"Developer, full-stack",United States of America,"1,000 to 4,999 employees",7,112476.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,MSBuild;npm;NuGet;Visual Studio Solution,Amazon Web Services (AWS);Microsoft Azure;Oracle Cloud Infrastructure (OCI),.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, full-stack",Germany,100 to 499 employees,17,90000.0,SQL;TypeScript,npm;Terraform;Yarn,Amazon Web Services (AWS),
Student,Germany,,Less than 1 year,,Kotlin;Python;Rust,Gradle,,NumPy
Student,Israel,,,,Bash/Shell (all shells);C;C++;Java;PowerShell;Python;Rust,Gradle;Make;Pip,,CUDA;Flutter;Keras;NumPy;Opencv;Pandas;TensorFlow;Torch/PyTorch
"Developer, embedded applications or devices",United States of America,100 to 499 employees,25,190000.0,Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;JavaScript;Lisp;Python;Rust,Chocolatey;Make;npm;NuGet;Pacman;Pip;Unity 3D;Yarn,Microsoft Azure,.NET (5+) ;CUDA;Electron;Hugging Face Transformers;Keras;NumPy;Tauri;TensorFlow
"Developer, back-end",Republic of Korea,10 to 19 employees,5,50000000.0,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;R;SQL;VBA,Ant;Docker;Make;Maven (build tool);Pacman;Pip;Podman;Visual Studio Solution;Yarn,Amazon Web Services (AWS);Cloudflare;Google Cloud;Oracle Cloud Infrastructure (OCI),Spring Framework
"Developer, mobile",Ukraine,"1,000 to 4,999 employees",7,58000.0,Swift,Homebrew,Firebase,SwiftUI
DevOps specialist,United States of America,"5,000 to 9,999 employees",19,160000.0,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,Ansible;Docker;Gradle;npm;Yarn,Cloudflare;VMware,Apache Kafka
Research & Development role,United Kingdom of Great Britain and Northern Ireland,2 to 9 employees,30,,C++;Java;JavaScript;Kotlin;Rust;Scala;TypeScript,Composer;Homebrew;Make;npm;Vite;Yarn,Digital Ocean,
"Developer, desktop or enterprise applications",United States of America,"5,000 to 9,999 employees",24,,Kotlin;Rust;Scala;SQL,Docker;Gradle;Homebrew;Kubernetes,Amazon Web Services (AWS);Google Cloud;Heroku,Apache Kafka;Spring Framework
Student,United States of America,,,,C;HTML/CSS;Python,Godot;Gradle,,
Engineering manager,Poland,"1,000 to 4,999 employees",12,19500.0,HTML/CSS;Java;JavaScript;SQL,Docker;Maven (build tool);npm,VMware,RabbitMQ;Spring Framework
"Developer, full-stack",Ethiopia,100 to 499 employees,4,54000.0,HTML/CSS;JavaScript;SQL;TypeScript,Docker;Homebrew;npm;Vite,Digital Ocean;Google Cloud,React Native
Educator,Romania,100 to 499 employees,17,75000.0,C#;Python,Pip;Visual Studio Solution,,.NET (5+) ;.NET Framework (1.0 - 4.8);Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch
"Developer, back-end",United States of America,100 to 499 employees,1,95000.0,Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Java;JavaScript;Lua;PowerShell;Prolog;Python;Rust;SQL;TypeScript,Docker;Google Test;Make;Maven (build tool);npm;Unity 3D;Unreal Engine,Amazon Web Services (AWS),.NET (5+) ;Apache Kafka
"Developer, mobile",Germany,"1,000 to 4,999 employees",13,,Bash/Shell (all shells);Ruby;Swift,Homebrew,,SwiftUI
Academic researcher,South Africa,,2,,Bash/Shell (all shells);C;Haskell;HTML/CSS;JavaScript;Lua;PHP;Python;Scala,Ant;Bun;Docker;Gradle;Make;Maven (build tool);Pacman;Pip,Microsoft Azure,Hugging Face Transformers;mlflow;NumPy;Pandas;Scikit-Learn;Torch/PyTorch
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,20 to 99 employees,8,79000.0,Elixir;Erlang;Go;HTML/CSS;JavaScript;SQL;TypeScript,Docker;Homebrew;Kubernetes;npm;Pip;Terraform;Webpack,Amazon Web Services (AWS);Cloudflare;Digital Ocean,Apache Kafka
"Developer, full-stack",India,,3,,HTML/CSS;JavaScript;Python;TypeScript,Docker;npm;Pip;Webpack,Amazon Web Services (AWS);Firebase;Google Cloud,NumPy;Opencv;Pandas;TensorFlow;Torch/PyTorch
