DevType,CompTotal,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,EmbeddedHaveWorkedWith,MiscTechHaveWorkedWith,Industry
"Developer, back-end",97500000.0,Bash/Shell (all shells);C,Elasticsearch;Redis,,,,,
"Developer, full-stack",82200000.0,C#;HTML/CSS;JavaScript;Ruby;SQL,Elasticsearch;Microsoft SQL Server;MySQL;SQLite,Digital Ocean,ASP.NET;ASP.NET CORE;Blazor;Node.js;Ruby on Rails,,.NET (5+),
"Developer, full-stack",250710000.0,Bash/Shell (all shells);C#;C++;Groovy;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,MariaDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare,Gatsby;Next.js;Node.js;React,,,"Information Services, IT, Software Development, or other Technology"
"Developer, back-end",16440000.0,Bash/Shell (all shells);Java;JavaScript;SQL,MongoDB;PostgreSQL,Amazon Web Services (AWS),Spring Boot,,Spring Framework,
"Developer, full-stack",120000000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,PostgreSQL;Redis;SQLite,"Amazon Web Services (AWS);Cloudflare;Heroku;Linode, now Akamai;Netlify",Django;Node.js,,NumPy;Pandas,
"Developer, back-end",412918000.0,C;Go;Java,,Oracle Cloud Infrastructure (OCI),,,,"Information Services, IT, Software Development, or other Technology"
"Developer, embedded applications or devices",2700000.0,C#;C++;Delphi;HTML/CSS;Java;JavaScript;Kotlin;PHP,MariaDB;Microsoft Access;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,Microsoft Azure,Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Laravel;Node.js;React;Ruby on Rails;Spring Boot;Symfony;Vue.js;WordPress,,.NET (5+);.NET Framework (1.0 - 4.8);Apache Spark;Flutter;Ionic;OpenGL;React Native;Spring Framework,
"Developer, front-end",243860000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;Oracle;PostgreSQL,Amazon Web Services (AWS);Digital Ocean,Express;Node.js;React,,.NET Framework (1.0 - 4.8),Healthcare
"Developer, back-end",96600000.0,Java,H2;MySQL;PostgreSQL,,Spring Boot,,Apache Kafka,
"Developer, back-end",342500000.0,Bash/Shell (all shells);C++;Go;Java;Kotlin;PowerShell,,,,,,
"Developer, back-end",200000000.0,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Perl;Python;R;SQL,Dynamodb;Elasticsearch;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Google Cloud,AngularJS;Django;Flask;React,,NumPy;Opencv;Pandas;Scikit-Learn;Torch/PyTorch,
"Developer, full-stack",246332850.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL,Oracle;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Heroku,Ruby on Rails;Vue.js,,,
"Developer, full-stack",232900000.0,HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,,Amazon Web Services (AWS),React;Spring Boot;Vue.js,,,
"Developer, full-stack",315100000.0,C#;HTML/CSS;TypeScript,Microsoft Access;Microsoft SQL Server,Microsoft Azure,Angular;ASP.NET CORE,,.NET (5+),
"Developer, full-stack",239750000.0,Groovy;HTML/CSS;Kotlin;SQL,Elasticsearch;PostgreSQL,Amazon Web Services (AWS);Cloudflare,Angular;AngularJS,,,Advertising Services
"Developer, game or graphics",198650000.0,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;Objective-C;Python;Rust;TypeScript,,,Node.js;React,,OpenGL,
"Developer, full-stack",127500000.0,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;Swift;TypeScript,MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Hetzner;Microsoft Azure;OpenShift;Oracle Cloud Infrastructure (OCI);OVH,Express;NestJS;Node.js;React;Vue.js,,Apache Kafka;NumPy;Pandas;RabbitMQ;React Native,"Information Services, IT, Software Development, or other Technology"
"Developer, front-end",212350000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;Ruby,,Cloudflare;OpenShift,jQuery;Node.js;React,,NumPy,"Information Services, IT, Software Development, or other Technology"
Data scientist or machine learning specialist,502790000.0,Bash/Shell (all shells);R;SQL,,Amazon Web Services (AWS),,,,"Information Services, IT, Software Development, or other Technology"
"Developer, back-end",424700000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,Elasticsearch;PostgreSQL;Redis,Amazon Web Services (AWS);Heroku,Next.js;Ruby on Rails,,,Retail and Consumer Services
"Developer, full-stack",60450000.0,HTML/CSS;JavaScript;PHP;SQL,Dynamodb;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean,Express;Fastify;Node.js;React;WordPress,,,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",97500000.0,HTML/CSS;JavaScript;PHP,Elasticsearch;MariaDB;Redis,Amazon Web Services (AWS);Cloudflare;Hetzner,Vue.js,,RabbitMQ,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",46500000.0,HTML/CSS;JavaScript;PHP;PowerShell;SQL,IBM DB2;Microsoft SQL Server;MySQL,Microsoft Azure,jQuery;Node.js;Symfony,,,
"Developer, full-stack",284960000.0,HTML/CSS;JavaScript;TypeScript,MongoDB,Cloudflare;Google Cloud,Express;NestJS;Next.js;React,,,
"Developer, back-end",191800000.0,C++;HTML/CSS;Java;JavaScript;Python;SQL,Dynamodb;Elasticsearch;Neo4J;PostgreSQL;Redis;Solr,Amazon Web Services (AWS),jQuery;Spring Boot,,NumPy;Pandas,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",123300000.0,C#;HTML/CSS;JavaScript;SQL,MariaDB;Microsoft SQL Server,Amazon Web Services (AWS);VMware,ASP.NET CORE;jQuery,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, back-end",822000000.0,C;C++;Java;PHP,MySQL,,Django,,Apache Spark,
"Developer, full-stack",111000000.0,Groovy;HTML/CSS;Java;JavaScript;Python;TypeScript,H2;MariaDB;MySQL,Google Cloud;Hetzner,,,,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",132890000.0,Bash/Shell (all shells);Dart;Go;HTML/CSS;JavaScript;Kotlin;Python;SQL;TypeScript,InfluxDB;MongoDB;PostgreSQL,Google Cloud;Microsoft Azure,Angular;Django;Express;Flask;Gatsby;jQuery;Next.js;Node.js;React,,Flutter;NumPy;Opencv;Pandas,
"Developer, full-stack",198650000.0,Python,MariaDB;Microsoft SQL Server,,,,,
"Developer, full-stack",150700000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,BigQuery;Elasticsearch;MySQL;PostgreSQL;Redis;Snowflake;SQLite,Amazon Web Services (AWS);Digital Ocean;Firebase;Heroku,Django;Node.js;React,,,Advertising Services
"Developer, back-end",280850000.0,Bash/Shell (all shells);C++;Go;Groovy;Java;JavaScript;Kotlin;Python;SQL;TypeScript,PostgreSQL,Amazon Web Services (AWS);Cloudflare,,,NumPy;Pandas,
Engineering manager,479500000.0,JavaScript;TypeScript,BigQuery;MySQL;PostgreSQL;Redis;Snowflake,Cloudflare;Fly.io;Google Cloud;Heroku,Express;NestJS;Node.js;React;Ruby on Rails,,,Advertising Services
"Developer, full-stack",301400000.0,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Kotlin;Perl;PHP;Rust;Scala;SQL;TypeScript,Dynamodb;Elasticsearch;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Heroku,Express;Node.js;React;Svelte,,,
Engineering manager,216460000.0,C#;Groovy;Java;JavaScript;Kotlin;SQL,BigQuery;Cassandra;Dynamodb;Elasticsearch;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,Amazon Web Services (AWS),Angular;Node.js;React;Spring Boot,,Spring Framework,
"Developer, back-end",226050000.0,Bash/Shell (all shells);Go;JavaScript;Python;SQL,Elasticsearch;PostgreSQL;Redis;Snowflake,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud,,,,"Information Services, IT, Software Development, or other Technology"
Cloud infrastructure engineer,191663000.0,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,Cosmos DB;Elasticsearch;MariaDB;Microsoft SQL Server;MySQL,Amazon Web Services (AWS);Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;jQuery;Node.js;React,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, full-stack",411000000.0,C#;HTML/CSS;JavaScript;MATLAB;Python;SQL,Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Microsoft Azure,ASP.NET CORE;Blazor;jQuery;React,,.NET (5+);.NET MAUI;CUDA;NumPy;Pandas;Scikit-Learn;TensorFlow,
"Developer, full-stack",205500000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;PHP;PowerShell;Python;Scala;SQL;VBA;Visual Basic (.Net),IBM DB2;Microsoft Access;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,Amazon Web Services (AWS);Google Cloud;VMware,jQuery,,,Financial Services
"Developer, full-stack",219200000.0,JavaScript;PowerShell;Rust;TypeScript,MariaDB;MySQL;PostgreSQL;Redis,,Express;Next.js;Node.js;React;Vue.js;WordPress,,,
"Developer, back-end",48000000.0,Java;JavaScript;SQL,Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL,Amazon Web Services (AWS),,,RabbitMQ;Spring Framework,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",280850000.0,Java;JavaScript,PostgreSQL,,React,,Electron,
Engineering manager,195500000.0,Elixir;HTML/CSS;JavaScript;Ruby;Rust;TypeScript,PostgreSQL,Amazon Web Services (AWS);Heroku;Vercel,Next.js;Phoenix,,RabbitMQ,Financial Services
Product manager,60000000.0,HTML/CSS;JavaScript;PHP,MariaDB;MySQL,Cloudflare;Microsoft Azure,jQuery,,,Financial Services
"Developer, back-end",37500000.0,C;C++;JavaScript;PHP;Python;TypeScript,MariaDB;MongoDB;MySQL;SQLite,,Angular;jQuery;Node.js;WordPress,,,
"Developer, full-stack",294550000.0,C;C#;C++;HTML/CSS;Java;JavaScript;Perl;SQL,Elasticsearch;Microsoft SQL Server;MySQL;Oracle,Amazon Web Services (AWS),jQuery;Node.js;Spring Boot,,Spring Framework,
"Developer, full-stack",128700000.0,Bash/Shell (all shells);Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,Elasticsearch;H2;Microsoft SQL Server;Oracle;PostgreSQL,Managed Hosting,Node.js;Spring Boot;Vue.js,,Spring Framework,
"Developer, front-end",178100000.0,C#;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,Microsoft SQL Server;MySQL;Redis;SQLite,Microsoft Azure;Netlify;Vercel,ASP.NET;Blazor;Gatsby;Next.js;React;Svelte,,.NET (5+);.NET MAUI;Xamarin,
"Developer, front-end",143850000.0,HTML/CSS;JavaScript,,,React,,,
"Developer, back-end",246600000.0,Bash/Shell (all shells);Go;Groovy;HTML/CSS;Java;JavaScript;Ruby;TypeScript,MongoDB;Solr,Amazon Web Services (AWS);Google Cloud,Express;Node.js;Spring Boot,,Apache Kafka;Spring Framework,Healthcare
"Developer, front-end",90000000.0,JavaScript;PHP;Python;SQL,Cloud Firestore;Elasticsearch;MariaDB;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;OVH,Django;Express;Next.js;Node.js;React;Svelte;WordPress,,CUDA;NumPy;Opencv;SwiftUI;TensorFlow;Torch/PyTorch,"Information Services, IT, Software Development, or other Technology"
"Developer, front-end",232900000.0,HTML/CSS;JavaScript;Python;SQL;TypeScript,PostgreSQL,Amazon Web Services (AWS);Firebase;Netlify;Vercel,Django;FastAPI;Next.js;React,,,Financial Services
DevOps specialist,7740000.0,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,MySQL;PostgreSQL,,Next.js;React,,Spring Framework,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",145250000.0,HTML/CSS;JavaScript;Python;TypeScript,Cloud Firestore;Firebase Realtime Database;PostgreSQL,Amazon Web Services (AWS);Firebase,Angular;FastAPI;NestJS;WordPress,,Capacitor;Electron;Ionic,
"Developer, back-end",132000000.0,JavaScript;Python;Ruby,MariaDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS),React;Ruby on Rails,,,"Information Services, IT, Software Development, or other Technology"
"Developer, back-end",513750000.0,C++;Go;Java;JavaScript;Kotlin;PHP;Python;SQL,SQLite,Amazon Web Services (AWS),React,,,
Data scientist or machine learning specialist,308250000.0,Bash/Shell (all shells);HTML/CSS;MATLAB;Python;R;SQL,InfluxDB;MariaDB;MongoDB,,Node.js,,NumPy;Pandas;Scikit-Learn;TensorFlow,
"Developer, full-stack",246600000.0,Elixir;HTML/CSS;Java;JavaScript;Ruby;TypeScript,PostgreSQL,Netlify,Express;jQuery;Next.js;Node.js;Phoenix;React;Ruby on Rails,,Electron;RabbitMQ,
"Developer, full-stack",300000.0,HTML/CSS;JavaScript;TypeScript,MongoDB,Netlify;Vercel,Svelte,,Capacitor,
"Developer, full-stack",219200000.0,Bash/Shell (all shells);Java;JavaScript;SQL,PostgreSQL,Amazon Web Services (AWS),React;Spring Boot,,Apache Kafka;Spring Framework,
"Developer, full-stack",126040000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,MySQL;PostgreSQL,Amazon Web Services (AWS),jQuery;WordPress,,,
"Developer, full-stack",164400000.0,C#;HTML/CSS;JavaScript;SQL;Visual Basic (.Net),Microsoft Access;Microsoft SQL Server,,ASP.NET;ASP.NET CORE;jQuery,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, full-stack",143000000.0,Bash/Shell (all shells);C;C++;Elixir;Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;Python;Rust;SQL;TypeScript,H2;MariaDB;Oracle;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Digital Ocean;Microsoft Azure;OpenShift,Express;Gatsby;Node.js;React;Spring Boot,,CUDA;Keras;NumPy;Opencv;Spring Framework;TensorFlow;Torch/PyTorch,
"Developer, full-stack",246600000.0,C#;HTML/CSS;Java;JavaScript;Python;SQL;Swift,Dynamodb;Elasticsearch;PostgreSQL;Redis,Amazon Web Services (AWS);OpenShift,ASP.NET CORE;FastAPI;Node.js;Vue.js,,.NET (5+);.NET Framework (1.0 - 4.8);SwiftUI,
"Developer, full-stack",67860000.0,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;TypeScript,PostgreSQL,Microsoft Azure;VMware,Express;FastAPI;React,,NumPy;OpenGL;React Native,"Information Services, IT, Software Development, or other Technology"
"Developer, mobile",219200000.0,HTML/CSS;Java;JavaScript;PHP;SQL;Swift,Microsoft SQL Server;MySQL,Amazon Web Services (AWS),Laravel;Vue.js,,SwiftUI,
"Developer, back-end",178100000.0,Elixir;SQL,PostgreSQL,,,,,Financial Services
"Developer, front-end",164400000.0,JavaScript;TypeScript,PostgreSQL,,Next.js;React,,,
Security professional,342500000.0,Assembly;Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Java;JavaScript;Python,Microsoft SQL Server;MySQL;PostgreSQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Django;Flask,,NumPy;Pandas,
"Developer, front-end",170000000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;TypeScript,PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare,Express;Fastify;Next.js;Node.js;React,,,Healthcare
Cloud infrastructure engineer,137000000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;Python;Ruby;SQL;TypeScript,Oracle,Amazon Web Services (AWS),Angular;Ruby on Rails,,,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",184950000.0,C#;Dart;HTML/CSS;Python;SQL;TypeScript,Dynamodb;Microsoft SQL Server;PostgreSQL,,Angular;ASP.NET CORE,,.NET (5+);Flutter,"Manufacturing, Transportation, or Supply Chain"
"Developer, front-end",141110000.0,JavaScript;TypeScript,Firebase Realtime Database;Supabase,Amazon Web Services (AWS);Firebase;Netlify;Vercel,Fastify;Next.js;React,,React Native,
"Developer, full-stack",108000000.0,HTML/CSS;JavaScript;PHP,MongoDB;MySQL;PostgreSQL;Solr,Amazon Web Services (AWS);Cloudflare;Digital Ocean,Laravel;Vue.js,,Apache Kafka;RabbitMQ,"Manufacturing, Transportation, or Supply Chain"
"Developer, full-stack",345240000.0,C#;HTML/CSS;Java;JavaScript;Lua;SQL;TypeScript,Cloud Firestore;Dynamodb;Elasticsearch;Firebase Realtime Database;MySQL;PostgreSQL,Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Blazor;Express;Node.js;React;Vue.js,,.NET (5+);.NET Framework (1.0 - 4.8);Apache Kafka;RabbitMQ;Spring Framework;Xamarin,Financial Services
"Developer, embedded applications or devices",265780000.0,Bash/Shell (all shells);C;C++;Python;Rust,,,,,,
"Developer, back-end",52500000.0,Java;JavaScript;Rust;SQL,PostgreSQL,Amazon Web Services (AWS);Google Cloud,,,,Financial Services
"Developer, full-stack",147960000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,Dynamodb;MySQL;Redis,Amazon Web Services (AWS),Express;Node.js;Spring Boot;Vue.js,,,
"Developer, back-end",266000000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,Dynamodb;PostgreSQL;Redis,Amazon Web Services (AWS);Firebase;Google Cloud,Angular;Express;jQuery;Laravel;NestJS;Next.js;Node.js;React,,React Native,Advertising Services
Cloud infrastructure engineer,205500000.0,Bash/Shell (all shells);Go;PHP;Python;Ruby,BigQuery;Cassandra;MariaDB;MySQL;Redis;Solr,Cloudflare;Google Cloud,,,,"Information Services, IT, Software Development, or other Technology"
"Developer, back-end",143850000.0,C#;Elixir;Go;Python;Rust;SQL,Cassandra;MongoDB;MySQL;Snowflake,Amazon Web Services (AWS),React,,Apache Kafka;CUDA,Financial Services
Academic researcher,120000000.0,R,Microsoft Access,,,,,Healthcare
"Developer, front-end",223310000.0,Java;JavaScript;Python;TypeScript,PostgreSQL,Amazon Web Services (AWS);Cloudflare,Django;Next.js;React,,RabbitMQ;React Native,Retail and Consumer Services
"Developer, full-stack",195000000.0,HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,Dynamodb;PostgreSQL,Amazon Web Services (AWS);Microsoft Azure,Gatsby;Node.js;React;Spring Boot,,Spring Framework,
DevOps specialist,271260000.0,Bash/Shell (all shells);Go;Python,BigQuery;Elasticsearch;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud,Django;Flask,,,Healthcare
"Developer, full-stack",164400000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript,H2;MongoDB;Oracle,,React;Spring Boot,,NumPy;Pandas;Scikit-Learn;Spring Framework,
"Developer, back-end",342500000.0,C#,Microsoft SQL Server,Microsoft Azure,Gatsby;React,,.NET (5+),
"Developer, full-stack",161660000.0,HTML/CSS;JavaScript;SQL,PostgreSQL;Redis,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure;Netlify,Node.js;React;WordPress,,,Higher Education
"Developer, full-stack",253450000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;jQuery;Node.js;React,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, back-end",3510000.0,Assembly;Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript;Visual Basic (.Net),Dynamodb;Elasticsearch;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Next.js;Node.js;React,,.NET (5+);.NET Framework (1.0 - 4.8);.NET MAUI;OpenGL;React Native,
"Developer, back-end",191800000.0,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Microsoft SQL Server;SQLite,Amazon Web Services (AWS);Microsoft Azure;VMware,Angular;ASP.NET;ASP.NET CORE;jQuery,,.NET (5+);.NET Framework (1.0 - 4.8),"Manufacturing, Transportation, or Supply Chain"
"Developer, front-end",172620000.0,Bash/Shell (all shells);HTML/CSS;JavaScript,,,Node.js;React,,,
"Developer, full-stack",157550000.0,C#;HTML/CSS;PowerShell;Rust;SQL;VBA;Visual Basic (.Net),Cosmos DB;Microsoft SQL Server,Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery,,.NET (5+);.NET Framework (1.0 - 4.8),"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",12420000.0,HTML/CSS;JavaScript;Python;SQL,PostgreSQL,Amazon Web Services (AWS);Google Cloud,,,.NET (5+);TensorFlow,Financial Services
"Developer, back-end",226050000.0,C#;PowerShell;SQL,Cosmos DB;Microsoft SQL Server;PostgreSQL;Redis,Microsoft Azure,ASP.NET CORE;Blazor,,.NET (5+);.NET MAUI;RabbitMQ,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",235640000.0,C#;JavaScript;SQL,Microsoft SQL Server;MySQL;Oracle;SQLite,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;jQuery,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, mobile",191800000.0,Java;Objective-C;TypeScript,,,Angular;Node.js,,Cordova;Ionic,
"Developer, full-stack",239750000.0,HTML/CSS;JavaScript;Python;Swift,,Amazon Web Services (AWS);Heroku,React;WordPress,,,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",306000000.0,Bash/Shell (all shells);JavaScript;Python;Rust;SQL;TypeScript,BigQuery;Firebase Realtime Database;MongoDB;PostgreSQL;SQLite,Firebase;Google Cloud;Microsoft Azure,FastAPI;Node.js;React,,NumPy;Pandas;Scikit-Learn,Financial Services
"Developer, full-stack",3773700.0,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Microsoft Access;Microsoft SQL Server;MySQL;Oracle;SQLite,,jQuery;WordPress,,.NET (5+);Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,
"Developer, full-stack",157550000.0,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,,ASP.NET;jQuery;Vue.js,,.NET (5+);.NET Framework (1.0 - 4.8),"Manufacturing, Transportation, or Supply Chain"
Security professional,109600000.0,Python,,Amazon Web Services (AWS);Microsoft Azure,,,,
"Developer, full-stack",139740000.0,Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript,IBM DB2;PostgreSQL,Amazon Web Services (AWS),Django;jQuery,,,
"Developer, full-stack",100000000.0,Elixir;JavaScript;Ruby;Rust;TypeScript,Elasticsearch;InfluxDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Heroku;Microsoft Azure,Next.js;Node.js;Phoenix;React;Ruby on Rails,,Cordova,"Information Services, IT, Software Development, or other Technology"
"Developer, back-end",226050000.0,Bash/Shell (all shells);C++;Go;HTML/CSS;Java;JavaScript;Objective-C;Python;SQL;TypeScript,Dynamodb;PostgreSQL,Amazon Web Services (AWS),Express;Node.js;React,,Qt,
Engineering manager,150700000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,Elasticsearch;MariaDB;Microsoft SQL Server;MySQL,Amazon Web Services (AWS),Laravel;Vue.js;WordPress,,,Higher Education
"Developer, back-end",105000000.0,Java;Ruby;SQL,H2;MySQL;SQLite,Amazon Web Services (AWS),Ruby on Rails;Spring Boot,,,
"Developer, full-stack",27000000.0,C;C++;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL;Visual Basic (.Net),MariaDB;MySQL;Oracle;PostgreSQL;SQLite,Microsoft Azure,Django;Express;jQuery;Node.js,,NumPy;Pandas;Scikit-Learn,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",221000000.0,C#;Dart;Rust;TypeScript,Microsoft SQL Server;SQLite,Microsoft Azure,ASP.NET;ASP.NET CORE;React,,.NET (5+);.NET Framework (1.0 - 4.8);Flutter,
"Developer, full-stack",232900000.0,Bash/Shell (all shells);C;JavaScript;PHP;Python;Ruby;SQL;TypeScript,InfluxDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis;Snowflake;SQLite,Amazon Web Services (AWS);Digital Ocean;Managed Hosting;Microsoft Azure,AngularJS;ASP.NET CORE;Django;Flask;Ruby on Rails;Vue.js,,.NET (5+);.NET Framework (1.0 - 4.8);RabbitMQ,
"Developer, back-end",112500000.0,Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;Ruby,PostgreSQL,Amazon Web Services (AWS),Phoenix;Ruby on Rails,,Flutter,
"Developer, back-end",335650000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,MySQL,Amazon Web Services (AWS);Microsoft Azure,Vue.js,,,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",260300000.0,HTML/CSS;JavaScript;Python;SQL;TypeScript,MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS),Django;Flask;React,,,Oil & Gas
"Developer, full-stack",250000000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,MariaDB;MySQL;Redis,Amazon Web Services (AWS),Express;Laravel;Next.js;Node.js;React;WordPress,,,
"Developer, embedded applications or devices",219200000.0,C;C++;MATLAB;Python,,Amazon Web Services (AWS);Microsoft Azure;VMware,,,Opencv;Qt,
"Developer, full-stack",95000000.0,Bash/Shell (all shells);Java;JavaScript;Python;SQL;TypeScript,Dynamodb;PostgreSQL,Amazon Web Services (AWS),Django;Vue.js,,NumPy;Pandas,Higher Education
"Developer, full-stack",212350000.0,C#;JavaScript,,Microsoft Azure,,,.NET (5+),
"Developer, back-end",131898000.0,C++;Kotlin;Swift,,,,,,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",87000000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,MariaDB;Microsoft SQL Server;MySQL,Amazon Web Services (AWS),Symfony,,,"Information Services, IT, Software Development, or other Technology"
"Developer, back-end",238380000.0,C#;Python;SQL,Elasticsearch;Microsoft SQL Server;MySQL,Amazon Web Services (AWS),FastAPI;Flask,,,
Blockchain,116450000.0,Bash/Shell (all shells);JavaScript;Rust;TypeScript,Microsoft SQL Server;MongoDB;MySQL;Redis,Google Cloud,Node.js,,,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",150000000.0,Bash/Shell (all shells);Go;JavaScript;Python;SQL,PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare,Fastify;Node.js;Nuxt.js;Vue.js,,Pandas,"Information Services, IT, Software Development, or other Technology"
"Developer, front-end",157550000.0,C#;HTML/CSS;JavaScript;PHP;TypeScript,,Amazon Web Services (AWS);Microsoft Azure,jQuery;Next.js;React,,.NET (5+),
"Developer, full-stack",172800000.0,HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,MariaDB;MongoDB;MySQL;SQLite,Amazon Web Services (AWS);Google Cloud;Vercel,Flask;jQuery;NestJS;Next.js;Node.js;React;Svelte,,Apache Kafka;NumPy;Pandas,Wholesale
