DevType,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSat
"Developer, full-stack",232900000.0,C#;HTML/CSS;Python;SQL;TypeScript,C#;Go;HTML/CSS;Kotlin;Python;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;Redis,MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Angular;ASP.NET CORE;Django;Vue.js,Angular;ASP.NET CORE;Django;Node.js;React,,,,,Chocolatey;Docker;Homebrew;MSBuild;npm;NuGet;Pip;Terraform,Docker;Homebrew;Kubernetes;MSBuild;npm;NuGet;Pip;Terraform,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Insurance,6.0
"Developer, full-stack",137000000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Go,Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,,Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Vercel,,Angular;AngularJS;Express;Flask;jQuery;NestJS;Next.js;Node.js;Spring Boot,React,,,Apache Kafka;Spring Framework;Torch/PyTorch,,APT;Docker;Gradle;Homebrew;Maven (build tool);npm;Pip,,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),AI-powered search (free),Software Development,9.0
"Developer, back-end",150000000.0,Go;Java;Kotlin;TypeScript,Dart;Go;Java;Kotlin,MongoDB;Redis,MongoDB;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS);Firebase,React;Spring Boot,Spring Boot,,,Spring Framework,Flutter;Spring Framework,Docker;Maven (build tool),Docker;Maven (build tool),Automated testing;Observability tools;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),AI-powered search (paid),Software Development,7.0
Security professional,90100000.0,Bash/Shell (all shells);C;C++;Python,Bash/Shell (all shells);C;Go;Python;Rust,MongoDB;PostgreSQL;SQLite,PostgreSQL;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS),Flask,Flask,Arduino;CMake;GNU GCC;Rasberry Pi,Arduino;CMake;GNU GCC;Rasberry Pi,,,Docker;Make;Pip,Make;Pip,Automated testing;Knowledge sharing community;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Government,8.0
"Developer, full-stack",150700000.0,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Go;HTML/CSS;JavaScript;SQL;TypeScript;Zig,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Google Cloud,Cloudflare,Express;Node.js;React;Vue.js,Express;Htmx;Node.js;Vue.js,CMake;GNU GCC;LLVM's Clang;Rasberry Pi,Rasberry Pi,,,Composer;Docker;Homebrew;Kubernetes;Make;npm;Vite,Docker;Homebrew;Make;npm;Vite,DevOps function;Automated testing;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,8.0
"Developer, full-stack",178100000.0,HTML/CSS;Java;JavaScript;PHP;SQL,HTML/CSS;JavaScript;SQL,MariaDB;Microsoft SQL Server;Oracle;PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Google Cloud,Google Cloud,Express;Node.js;React;Spring Boot;WordPress,Express;Node.js;React,,,Spring Framework,,Maven (build tool);npm;Vite;Webpack,npm;Vite,None of these,Hybrid (on-prem and cloud),Traditional public search engine,Government,8.0
"Developer, full-stack",139055000.0,C#;HTML/CSS;JavaScript;TypeScript,C#;HTML/CSS;JavaScript;TypeScript,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Angular;ASP.NET,Angular,,,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+),MSBuild;npm;NuGet,npm,DevOps function,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,8.0
"Developer, front-end",6300000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,C#;HTML/CSS;JavaScript;TypeScript,MongoDB;MySQL;Redis,MongoDB;MySQL;Redis,Microsoft Azure;Netlify,Microsoft Azure,Next.js;Node.js;React,Next.js;Node.js;React,,,,,Chocolatey;Docker;Homebrew;Kubernetes;npm;Vite;Webpack;Yarn,Docker;Homebrew;Kubernetes;npm;Vite;Webpack;Yarn,DevOps function;Knowledge sharing community;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Retail and Consumer Services,4.0
Data scientist or machine learning specialist,187500000.0,Bash/Shell (all shells);C;C++;Go;Python;Rust;SQL,C;C++;Python;SQL,MySQL;PostgreSQL;SQLite,PostgreSQL;SQLite,Digital Ocean,,Flask,,Arduino;CMake,,NumPy;Pandas,NumPy;Pandas,Ansible;Make;Pip,Ansible;Make;Pip,None of these,Hybrid (on-prem and cloud),Traditional public search engine,Banking/Financial Services,2.0
"Developer, front-end",72000000.0,HTML/CSS;JavaScript;Kotlin;SQL;TypeScript,HTML/CSS;JavaScript;SQL;TypeScript,PostgreSQL,PostgreSQL,Amazon Web Services (AWS),,Node.js;React;Spring Boot,NestJS;Next.js;Node.js;React,,,,,Docker;Gradle;Homebrew;npm;Vite;Webpack,Bun;Homebrew;npm;pnpm;Vite;Yarn,DevOps function;Automated testing;Observability tools;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,3.0
"Developer, back-end",161660000.0,Bash/Shell (all shells);Java;Kotlin;Python,Bash/Shell (all shells);Java;Kotlin;PowerShell;Python;Rust,,,,,,,,,Pandas,Pandas,Ansible;Docker;Maven (build tool),Ansible;Gradle;Maven (build tool);Podman,DevOps function;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,On-prem,Traditional public search engine,Software Development,9.0
DevOps specialist,75000000.0,Bash/Shell (all shells);C;C++;Java;JavaScript;PHP;Python;SQL,C;C++;JavaScript;PHP,MariaDB;SQLite,MariaDB,,,AngularJS;Node.js,Node.js,Arduino;Rasberry Pi,Arduino,,,Docker,Docker,DevOps function;Knowledge sharing community;AI-assisted technology tool(s),Hybrid (on-prem and cloud),Traditional public search engine,Software Development,7.0
"Developer, back-end",685000000.0,Go;Python,Elixir;Java;Kotlin,,,,,,,,,,,,,Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),"Do search of internal share drives/storage locations for documentation (i.e., not a structured knowledge base)",Computer Systems Design and Services,2.0
"Developer, full-stack",342500000.0,Bash/Shell (all shells);Go;JavaScript;Python;Rust;TypeScript,Bash/Shell (all shells);Go;JavaScript;Python;Rust;TypeScript,Redis,Redis,Amazon Web Services (AWS);Firebase;Google Cloud;Netlify;Vercel,Google Cloud,Express;FastAPI;Flask;Next.js;Node.js;React,Express;FastAPI;Flask;Next.js;Node.js;React,Arduino;Cargo;GNU GCC;LLVM's Clang;Rasberry Pi,Arduino;Cargo;GNU GCC;LLVM's Clang;Rasberry Pi,,,APT;Docker;Homebrew;Make;npm;Pip;Podman;Vite;Webpack;Yarn,APT;Bun;Docker;Make;npm;Pip;Podman;Vite;Webpack;Yarn,Automated testing;Observability tools;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Media & Advertising Services,8.0
"Developer, back-end",308250000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL;TypeScript,Bash/Shell (all shells);C#;Go;HTML/CSS;Rust;SQL;TypeScript,Microsoft SQL Server;Redis,Microsoft SQL Server;Redis,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Google Cloud;Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery;Node.js,ASP.NET CORE;jQuery;Svelte,,,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+),Docker;NuGet;Terraform;Visual Studio Solution;Webpack,Docker;Kubernetes;NuGet;Terraform;Visual Studio Solution;Webpack,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Other:,Software Development,10.0
"Developer, full-stack",131520000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;SQL;TypeScript,MongoDB;Oracle,MongoDB,Microsoft Azure;Vercel,Microsoft Azure;Vercel,Angular;React,React,,,,React Native,Docker;Homebrew;Maven (build tool);npm;Vite;Webpack;Yarn,Docker;Homebrew;Maven (build tool);npm;Vite,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,8.0
"Developer, full-stack",91200000.0,C#;PowerShell;SQL,C;C#;C++;Go;Java;Kotlin;PowerShell;SQL,Microsoft SQL Server;Oracle,Microsoft SQL Server,,,,,,,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+),,,None of these,On-prem,Traditional public search engine,Government,6.0
"Developer, back-end",116450000.0,Bash/Shell (all shells);C;C#;HTML/CSS;JavaScript;PowerShell;Python;Ruby;SQL;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Microsoft SQL Server;MongoDB;SQLite,Elasticsearch;PostgreSQL;Redis;SQLite,Heroku;Microsoft Azure;Vercel,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Microsoft Azure;Vercel,Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Express;FastAPI;Flask;jQuery;Next.js;Node.js;React;Vue.js,ASP.NET;ASP.NET CORE;Express;FastAPI;Next.js;Node.js;React;Svelte,Arduino;CMake;Rasberry Pi,Arduino;Rasberry Pi,.NET (5+);.NET Framework (1.0 - 4.8);NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,.NET (5+);Apache Kafka;CUDA;Flutter;NumPy;Pandas;RabbitMQ;Scikit-Learn;TensorFlow;Torch/PyTorch,APT;Chocolatey;Docker;Homebrew;MSBuild;npm;NuGet;Pip;Terraform;Visual Studio Solution;Vite,APT;Bun;Docker;Homebrew;Kubernetes;Make;MSBuild;npm;NuGet;Pip;Terraform;Visual Studio Solution;Vite;Webpack;Yarn,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),A coworker,Healthcare,6.0
"Developer, full-stack",35200000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;SQL;TypeScript,Dynamodb;MariaDB;PostgreSQL;SQLite,MariaDB;PostgreSQL;SQLite,Amazon Web Services (AWS);Digital Ocean,Amazon Web Services (AWS);Cloudflare;Digital Ocean,Angular;Node.js,Angular;Node.js,CMake;GNU GCC;LLVM's Clang;Rasberry Pi,GNU GCC;LLVM's Clang;Rasberry Pi,,,Docker;Homebrew;Make;npm;Webpack,Bun;Docker;Homebrew;Make,DevOps function;Automated testing,Cloud only (single or multi-cloud),A coworker,Manufacturing,7.0
"Developer, full-stack",212350000.0,JavaScript;SQL;TypeScript,JavaScript;SQL;TypeScript,Dynamodb;MongoDB;MySQL;Redis,Dynamodb;MySQL,Amazon Web Services (AWS);Cloudflare;Firebase;Heroku;Microsoft Azure;Vercel,Cloudflare;Firebase,Express;jQuery;Next.js;Node.js;React;WordPress,Express;jQuery;Next.js;Node.js;React,Rasberry Pi,Rasberry Pi,React Native,,Docker;Gradle;npm;Webpack,Docker;npm,AI-assisted technology tool(s);Microservices,Hybrid (on-prem and cloud),Traditional public search engine,Media & Advertising Services,8.0
"Developer, embedded applications or devices",207418000.0,Bash/Shell (all shells);C;C++;Python,C++;Python,,,Amazon Web Services (AWS),,,,CMake;GNU GCC;Rasberry Pi,CMake;GNU GCC;Rasberry Pi,NumPy;Pandas,NumPy;Pandas;Scikit-Learn;Torch/PyTorch,Make;Pip,,DevOps function;Automated testing;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,,2.0
"Developer, full-stack",176131310.0,C#;Go;JavaScript;Kotlin;Rust;SQL;TypeScript,C#;Swift,MongoDB;MySQL;PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Google Cloud,,ASP.NET;ASP.NET CORE;NestJS;Next.js;Node.js;React,ASP.NET;ASP.NET CORE,,,RabbitMQ;React Native,,Docker;Gradle;Homebrew;Maven (build tool);npm;Vite;Yarn,Vite,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,Software Development,7.0
"Developer, full-stack",105000000.0,Java;Kotlin;SQL;TypeScript,Kotlin;SQL,PostgreSQL,PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),Angular;Spring Boot,,,,Flutter;Spring Framework,,Docker;Kubernetes;Maven (build tool);npm;pnpm,Kubernetes;pnpm,DevOps function;Automated testing;Observability tools;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),Traditional public search engine,Banking/Financial Services,5.0
"Developer, back-end",178100000.0,Bash/Shell (all shells);C++;Java;JavaScript;Kotlin;Python;Ruby;Rust;SQL;TypeScript,Bash/Shell (all shells);C++;Go;Rust;Zig,Dynamodb;Elasticsearch;MongoDB;PostgreSQL;Redis;SQLite,Dynamodb;Elasticsearch;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS),Angular,Angular,CMake;Cargo;LLVM's Clang,CMake;Cargo;LLVM's Clang,,,Docker;Kubernetes;npm;Pip,Docker;Kubernetes,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,,7.0
"Developer, full-stack",226050000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL,HTML/CSS;JavaScript;SQL,Dynamodb;Elasticsearch;Microsoft SQL Server;PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Cloudflare;Heroku;Microsoft Azure,Amazon Web Services (AWS),Node.js;React;WordPress,Node.js;React;Vue.js,,,,,Homebrew;npm;Yarn,,DevOps function;Automated testing;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Internal Developer portal,Energy,9.0
"Developer, full-stack",72000000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Oracle,,Amazon Web Services (AWS),Amazon Web Services (AWS),Angular;AngularJS;jQuery;Spring Boot,Angular;jQuery;Spring Boot,,,Spring Framework,Spring Framework,Docker;Kubernetes;Maven (build tool);npm,Docker;Kubernetes;Maven (build tool);npm,DevOps function;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,"Internet, Telecomm or Information Services",8.0
Engineering manager,315100000.0,C#;Go;Java;JavaScript;Ruby;Rust;SQL,C#;JavaScript;Python;Rust;SQL,Dynamodb;Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Cloudflare,ASP.NET;ASP.NET CORE,ASP.NET CORE,Arduino;Rasberry Pi,Arduino;Rasberry Pi,.NET (5+);.NET Framework (1.0 - 4.8);NumPy;Pandas;RabbitMQ;TensorFlow;Torch/PyTorch,.NET (5+),Chocolatey;Docker;Make;MSBuild;NuGet;Terraform;Visual Studio Solution,Docker;MSBuild;Terraform,DevOps function;Automated testing;Observability tools;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Other:,Media & Advertising Services,8.0
"Developer, full-stack",184950000.0,C#;HTML/CSS;JavaScript;SQL,Kotlin;Python;TypeScript,Microsoft SQL Server;Redis,Microsoft SQL Server;Redis,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery,ASP.NET CORE;Blazor;Node.js;Vue.js,,,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+),Chocolatey;MSBuild;NuGet;Visual Studio Solution,Docker;Kubernetes;MSBuild;NuGet;Visual Studio Solution,DevOps function;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,8.0
"Developer, game or graphics",400000.0,Bash/Shell (all shells);C++;Python,Bash/Shell (all shells);C;C++;Python,PostgreSQL,Dynamodb,,,Flask;WordPress,,,,,,APT,Godot,Knowledge sharing community,Hybrid (on-prem and cloud),Traditional public search engine,,10.0
"Developer, full-stack",137000000.0,Go;JavaScript;Python;TypeScript,Go;JavaScript;Python;TypeScript,,,Google Cloud,Google Cloud,Flask;React,Flask;React,,,Flutter,,Docker;Homebrew;npm;Pip;Webpack,Homebrew;npm;Pip,Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Retail and Consumer Services,9.0
"Developer, back-end",1027500000.0,C;C++;Go;Python,Dart,PostgreSQL;SQLite,,,,FastAPI,,CMake;GNU GCC,,Apache Kafka,,Homebrew;Make;Pip,Ansible,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,On-prem,Traditional public search engine,Computer Systems Design and Services,10.0
"Developer, AI",376750000.0,JavaScript;Python,Python,MySQL;PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS),Node.js,,,,NumPy;Pandas;Torch/PyTorch,NumPy;Pandas;Torch/PyTorch,Docker;Pip,Docker;Pip,Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s),Hybrid (on-prem and cloud),A coworker,Software Development,9.0
"Developer, full-stack",164400000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,,Microsoft SQL Server,,,,ASP.NET;jQuery;Vue.js,,,,.NET Framework (1.0 - 4.8),,Visual Studio Solution,,None of these,Hybrid (on-prem and cloud),Traditional public search engine,,4.0
"Developer, back-end",301400000.0,,Go;Rust,PostgreSQL;Redis,PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure,,React,,,,,Terraform,Gradle;Terraform,DevOps function;Automated testing;Observability tools;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),"Do search of internal share drives/storage locations for documentation (i.e., not a structured knowledge base)","Internet, Telecomm or Information Services",8.0
"Developer, mobile",24000000.0,C++;Dart,C#;C++;Dart;Java,,,,,,,,,Flutter,.NET (5+);Flutter,Gradle,Visual Studio Solution,DevOps function;Observability tools,,A coworker,,5.0
"Developer, full-stack",37400000.0,C#;C++;HTML/CSS;JavaScript;PHP;Ruby;SQL,C#;C++;HTML/CSS;JavaScript;PHP;SQL;Swift,MariaDB;MySQL,MariaDB;MySQL,Google Cloud,Google Cloud,jQuery,jQuery,,,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+),,,None of these,Hybrid (on-prem and cloud),Traditional public search engine,,9.0
Engineering manager,267150000.0,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Microsoft SQL Server;PostgreSQL,Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Angular;ASP.NET;ASP.NET CORE;Node.js,Angular;ASP.NET;ASP.NET CORE;Blazor;Node.js,,,.NET (5+);.NET Framework (1.0 - 4.8);RabbitMQ,.NET (5+);RabbitMQ,Docker;MSBuild;npm;NuGet;Pip;Terraform;Visual Studio Solution,Docker;Kubernetes;MSBuild;npm;NuGet;Pip;Terraform;Visual Studio Solution,DevOps function;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,"Transportation, or Supply Chain",5.0
"Developer, back-end",3150000.0,C#;Java;JavaScript;SQL;TypeScript,C#;JavaScript;SQL;TypeScript,MariaDB;Microsoft SQL Server;MongoDB;Redis;SQLite,Microsoft SQL Server;MongoDB;Redis,Cloudflare;Microsoft Azure,Cloudflare;Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;WordPress,Angular;ASP.NET;ASP.NET CORE,Rasberry Pi,Rasberry Pi,.NET (5+),.NET (5+);Flutter;RabbitMQ,MSBuild;npm;NuGet;Visual Studio Solution;Yarn,MSBuild;npm;NuGet;Visual Studio Solution;Yarn,DevOps function;Microservices;Developer portal or other central places to find tools/services,Cloud only (single or multi-cloud),AI-powered search (free),Retail and Consumer Services,6.0
"Developer, full-stack",140000000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;SQL;TypeScript,MongoDB;PostgreSQL,MongoDB;PostgreSQL,Vercel,Vercel,Next.js;Node.js;React,Next.js;Node.js;React,,,.NET (5+);React Native,.NET (5+);React Native,Docker;npm;Vite;Webpack,Docker;npm;Vite,DevOps function;Automated testing;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,Higher Education,8.0
"Developer, back-end",411000000.0,Bash/Shell (all shells);C++;Go,C++;Go;TypeScript,MySQL,,Google Cloud,Google Cloud,,,,,,,,Docker,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,On-prem,Internal Developer portal,"Internet, Telecomm or Information Services",8.0
"Developer, full-stack",75000000.0,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,Go;HTML/CSS;Python;Rust;SQL;TypeScript,Microsoft SQL Server;Oracle;PostgreSQL;Redis,Microsoft SQL Server;PostgreSQL;Redis,Cloudflare;Digital Ocean;Firebase;Microsoft Azure,Cloudflare;Microsoft Azure;Vercel,Angular;ASP.NET;ASP.NET CORE;Next.js;React,NestJS;Next.js,,,.NET (5+),React Native,Docker;MSBuild;npm;NuGet;pnpm;Visual Studio Solution,Docker;npm,Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),AI-powered search (free),Banking/Financial Services,5.0
"Developer, back-end",275370000.0,Python,,Dynamodb;Elasticsearch;PostgreSQL;Redis,Dynamodb,Amazon Web Services (AWS),,,,Rasberry Pi,Rasberry Pi,,,Docker;Kubernetes;Make,Docker;Kubernetes;Make,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Computer Systems Design and Services,10.0
"Developer, back-end",1890000.0,Bash/Shell (all shells);C#;SQL,Rust;Swift,Elasticsearch;Microsoft SQL Server;MongoDB;Redis,PostgreSQL,Digital Ocean,,ASP.NET CORE,,,,.NET (5+),,Docker;NuGet,Kubernetes,DevOps function;Observability tools;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,Retail and Consumer Services,6.0
Data engineer,1470000.0,Bash/Shell (all shells);Java;Python;SQL,,Elasticsearch;MongoDB,,Amazon Web Services (AWS);Google Cloud,,,,,,Apache Kafka,,Docker;Gradle;Homebrew;Kubernetes;Maven (build tool);npm;Terraform,,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Internal Developer portal,Software Development,7.0
"Developer, back-end",280850000.0,Bash/Shell (all shells);HTML/CSS;Python;Rust,Rust;Zig,SQLite,PostgreSQL;SQLite,,,FastAPI,FastAPI,Arduino;Cargo;Rasberry Pi,Arduino;Cargo;Rasberry Pi,RabbitMQ,RabbitMQ,Homebrew,Godot,DevOps function;Automated testing;Knowledge sharing community;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),Slack search,Media & Advertising Services,6.0
Engineering manager,177000000.0,Bash/Shell (all shells);Python,Python;Rust,MariaDB;MongoDB;Redis,PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),FastAPI;Flask,FastAPI;Htmx,Arduino;Cargo;GNU GCC;Rasberry Pi,Arduino;Rasberry Pi,NumPy;Pandas;RabbitMQ;Scikit-Learn;Torch/PyTorch,Apache Kafka;CUDA;NumPy;Pandas;RabbitMQ;Scikit-Learn;Torch/PyTorch,Docker;Make;npm;Pip,Docker;Pip,Automated testing;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,"Internet, Telecomm or Information Services",9.0
"Developer, full-stack",22500000.0,HTML/CSS;JavaScript;Python;TypeScript,HTML/CSS;JavaScript;TypeScript,,,,,Next.js;Node.js;Vue.js,Next.js;Node.js;Vue.js,,,,,,,None of these,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,9.0
"Developer, full-stack",232900000.0,HTML/CSS;Java;TypeScript,Java,MariaDB;PostgreSQL,,,,Spring Boot,Spring Boot,,,,,,,Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),AI-powered search (paid),Software Development,10.0
"Developer, front-end",4840000.0,HTML/CSS;Java;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,,,Amazon Web Services (AWS),,Next.js;React,Next.js;React,,,,,Maven (build tool);npm;Webpack;Yarn,npm;pnpm;Webpack;Yarn,DevOps function;Automated testing;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,"Internet, Telecomm or Information Services",6.0
DevOps specialist,125000000.0,Bash/Shell (all shells);Go;Java;SQL,Bash/Shell (all shells);Go;Rust;SQL,PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,,,,,,,Docker;Maven (build tool);npm;Terraform,Docker;Maven (build tool);npm;Terraform,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),AI-powered search (free),,8.0
